,text,label
10,"This begins a wager between Edgar Allen Poe and a journalist...Poe bets that the man can not spend an entire night in a creepy castle. Well, of course he can, but will he come out unscathed? Hard to say with all these strange people that aren't supposed to be there wandering around, including the icy Barbara Steele. This is a fairly odd film in that the presentation is both in French and English, and switches back and forth a few times. Perhaps this is done because bits of dialog were lost? It's also rather dark and claustrophobic, being that one doesn't see much beyond a small circle of light that candles and such generate, plus there's a feel of dread and impending doom pretty much at all times. This version (on Synapse) is also uncensored and I wondered what might be censored in a film from 1964 until I saw the topless scene, I guess that might be it. Overall this is pretty good and in gloomy black and white. Barbara Steele definitely makes the movie too. 8 out of 10.",Positive
11,"Last weekend I bought this 'zombie movie' from the bargain bin and watched it with some friends thinking it was going to be a budget version of ""Land of the Dead"".<br /><br />Boy, was I wrong. <br /><br />It seems as if they spent a good portion of their budget on the cover-art, which is very misleading to fans of the zombie genre.<br /><br />We watched up to the point where the zombie chicks come alive and get in the car with some yuppie who is out in the middle of nowhere talking business on a cell-phone. They actually speak to the guy before one of the girls kills him; but once they started driving the car, I couldn't suspend my disbelief anymore.<br /><br />Some people actually consider this a ""so bad, it's good"" movie, they are liars. I didn't finish the movie, but one of the other reviews mention that they actually somehow become police officers at the end of the movie, which makes me glad to not have watched it all the way through.<br /><br />This is even worse than ""Zombiez"" DO NOT WATCH!",Negative
12,"Well the reason for seeing it in the cinema was that it was a sneak preview, else I would never have seen this terrible teenage slasher movie. I mean haven't we had enough of this yet? Scream and Scary Movie at least did not take them self serious! The plot sucks, and the acting is the worst I've seen. (Only Godzilla can compare, which is also the only movie that competes in being the worst I've seen in the cinema with this one.)<br /><br />There is so many plot holes in the story, and the girls are so alike, that you don't even now who has been killed, and who has not. (and you don't care.) The only of them I knew in advance was Denise, and she was the most talent less actress I have ever seen in this bad excuse for a movie.<br /><br />Stay as far away from this movie as possible. (2/10)",Negative
13,"We have an average family. Dad's a famous rapper, we have the ""rebelious teenage daughter"", the adopted white kid, and the cute little kid. And we have careless housemaid, what show has had a housemaid like that? Do we have a messed-up Brady Bunch? Yay! When it first came out I thought it was really cool, mostly because I was young. The music was bad. The raps were so bad and they were too g-rated. All of his raps were about his family and friends and problems. The dad was kind of the ""Danny from Full House"" type of dad. Always gave the advice out. But he wasn't a clean freak. They had a house-keeper for that. Remember? The plots were basically Lil' Romeo was in trouble of some sort, or... not that's it. Oh and maybe some preteen drama. Yeah that stuff is good. Not really. But its still a good show for kids. But Nikelodean could do better.",Negative
14,"when my sister said this movie was gonna be good i had second thoughts but i watched it and it was actually funny. basically the movie is made of a weird girl who goes to a small town where no one likes her and she just wants to go there and get the reading of her aunts will don so she can go. but its not all that easy. In this movie you will come across hilarious humor, a witch, a book of spells/recopies, a mentally challenged uncle and a dog. You will understand the meaning of the word freak a after anyways i hope you run right out and try to find this really old movie. hope you like it in total i will have to give it a 0.... no I'm totally joking ill give it a 9 hope you understand that you will laugh, you will scream and you may just be offended.<br /><br />love yours truly: Dakota you can email me at dakota_loves_it@hot mail.com if you wanna",Positive
15,"I thought this was a wonderful movie. It touches every fiber of a human being. The love in the film is very intense. I thought it was Will's best performance to date. Great directing. Liked the editing. Music was great. Good use of flashback. This is the kind of movie everyone should go see. I hope people will get something wonderful from this. Overall, excellent movie. I think Hollywood should make more movies with substance. Even action films can have a caring story. I like the fact that Will was very subtle in his acting. He had a purpose and a dedication that is rare to see. I would suggest watching this alone or with someone that you really care about. For me, I found that the world stopped and my only focus was on the film. The outside world was suspended for a moment. It was a nice feeling with all this chaos going on in this world. And with this me generation it was great to see something(someone) that cared about other people more than himself.",Positive
16,"Why on earth is Colin Firth in this pointless film? Has he really been that strapped for cash?<br /><br />The film isn't clear on what it wants to be about, grief?, exotic places?, ghosts?, a vehicle for Mr Darcy? It's a muddled, muddy mess.<br /><br />There seems to be some sort of idea that Italy must be good, in itself, and that Italian has something to offer as a language - but in the end the girls just want to go back to yankland.<br /><br />There are pointless episodes on the beach, in churches, on busy roads - but what it is all about, or why anybody should care simply isn't clear.<br /><br />There was also a yank woman in the film. It wasn't clear what here job was, but she seemed only to be there to make vapid, inappropriate and maudlin comments to the girl. Was it supposed to be about paedophillia??<br /><br />A pretty dreadful mess, all in all. I gave it 2 rather than 1 because it doesn't have the charm of an utterly ghastly film.",Negative
17,"Back in 1985 I caught this thing (I can't even call it a movie) on cable. I was in college and I was with a high school friend whose hormones were raging out of control. I figured out early on that this was hopeless. Stupid script (a bunch of old guys hiring some young guys to show them how to score with women), bad acting (with one exception) and pathetic jokes. The plentiful female nudity here kept my friend happy for a while--but even he was bored after 30 minutes in. Remember--this was a HIGH SCHOOL BOY! This was back before nudity was so easy to get to by the Internet and such. We kept watching hoping for something interesting or funny but that never happened. The funniest thing about this was the original ad campaign in which the studio admitted this film was crap! (One poster had a fictional review that said, ""This is the best movie I've seen this afternoon!""). Only Grant Cramer in the lead showed any talent and has actually gone on to a career in the business. No-budget and boring t&a. Skip it.",Negative
18,"It's easy to forget, once later series had developed the alien conspiracy plot arc more, that once upon a time, The X-Files' wrote episodes like ""GenderBender"" and ""Fearful Symmetry"", where the aliens weren't all little grey men or mind-control goop, but could actually surprise you.<br /><br />""Fearful Symmetry"" starts with an ""invisible elephant"" - actually an elephant somehow dislocated in space and time, not a mile away from ""The Walk"" - and ends with a pregnant gorilla being abducted. And it's very much an episode of wonderful moments. The subplot is annoyingly worthy - yeah, we get it, zoos are bad except when they're not - but the ideas that within it are fascinating, visually powerful, and very memorable, and it covers an angle on abduction that is largely overlooked - why *would* humans be the only things that aliens are interested in?<br /><br />In the end, it wasn't an instant classic, but it was enjoyable viewing while it lasted, again, very memorable, and mainly, it's something that you couldn't imagine many other shows doing.",Positive
19,"'Grey Gardens'(1975) is the Maysles' brothers bizarre documentary of Jackie Bouvier Kennedy Onassis'eccentric aunt and first cousin who live like pigs in a run down 28 room mansion on East Hampton, Long Island.'Big Edie' Bouvier Beale,78,witty and dry and her daughter, 'Little Edie' Beale,56,(emotionally about 13) a still beautiful woman who once had a promising future,live in isolation from the rest of the world except for their many cats and raccoons in the attic. They amuse themselves by bickering all day, listening to the radio or singing to each other(They dont even own a television) Their fall from society is amazing to learn of and the viewer is drawn to these two very special, although obviously, dysfunctional people.One of the better documentaries ever made and still a cult classic today.",Positive
20,"I'm usually not one to say that a film is not worth watching, but this is certainly an extenuating circumstance. The only true upside to this film is Cornelia Sharpe, looking rather attractive, and the fact that this film is REALLY short.<br /><br />The plot in the film is unbelievably boring and goes virtually nowhere throughout the film. None of the characters are even remotely interesting and there is no reason to care about anyone. I'm not sure why on earth Sean Connery agreed to do this film, but he should have definitely passed on this one.<br /><br />The only reason I could see for seeing this film is if you are a die-hard Sean Connery fan and simply want to see everything he's done. Save this one for last though.<br /><br />Well, if you by some miracle end up seeing this despite my review (or any of the other reviews on this site), then I hope you enjoy it more than I did. Thanks for reading.",Negative
21,"Not funny - how can anyone link this to Monty Python? That is absolutely ridiculous - there are no laughs. This is not funny. Over the top, but ugly, weird just for weird sake and it seems to me these people were on something all the time. Unfortunately something that did not make them funny.<br /><br />It should be given some points for effort etc. whatever. Actually it appears there is a laugh track - or is there one? Hummm.... Since there are barely any laughs that's a debatable question.<br /><br />Maybe I'm doing it injustice - maybe it's some sort of exercise. Some sort of art - in that case anything goes, never mind.<br /><br />But these guys playing women with high-pitched voices, turned-up noses. Come on !!! Not funny. <br /><br />There is only one heir apparent to Monty Pythons intellectual wit and that is Stephen Colbert, and maybe Jon Stewart.",Negative
22,"Okay, I rented this movie because of the director...he has made some interesting flicks in the past (if you haven't seen Waxork you are missing a fun ride). Anyway, I had my doubts about this movie from the beginning but I decided to suck it up and give it a look. It's bad. Very bad. If you haven't seen the movie and don't mind spoilers read ahead. First of all, the old saying 'You can't judge a book by it's cover' applies here. The box for this flick seems to indicate that Jill is the stone fox with long hair with highlights. The back of the box has a cool shot of the red-leather Jill and some other shots. The description makes you want to rent the movie because it SOUNDS good. You start watching it and suddenly you find out that the movie takes place (inexplicably) in 1977. Jill is a total dog who is not the girl on the cover. The movie is not quite as predictable as you would think...and that's not a good thing. Characters do so many stupid things without any modicum of motivation...it's embarrassing to watch. 10 minutes before the end of the movie Dolph and another lady have sex for no good reason. Also, what was the point of having Dolph kill this other lady in cold blood who had been helping him. Anthony Hickox the director should have seen a stinker when he read the script. Had it been set in the underworld of the new milennium and made the characters halfway intelligent it might have been decent. To set it in the 70's makes no sense and has no bearing on the story whatsoever. Avoid it!",Negative
23,"This obscure de Sica delivers the goods. And it is said ""the meek shall inherit the earth."" This tale of classes on the surface but really an allegory for all the homeless people that populated Europe after the great war. They are homeless but cheerful, in a societies too impoverished and selfish to care for or acknowledge them, footmats for the Italian carpetbaggers. de Sica chooses to tell it as a fairy tale, a Cinderella story. I have not read the book it is based on so I cannot foresay if the deus ex machina is the construct of the writer or Vittorio. It begins with the words, ""Once upon a time..."" to exemplify the timelessness of its tale, for the story could be set anywhere and everywhere. Caricature sketches of the aristocracy that cut to the bone, whimsical nature of the homeless especially when they begin to grant their wishes and an ending right out of a Spielberg picture makes this boulange a delight for all. De Sica's most accessible picture is also one of his best. Abandoning neo-realism, he always dallied between that and pure good old film-making, he creates a movie that breaks the heart and at the same time fills it with the yearning of hope that one needs to continue leaving in this world. Gracias Vittorio! Gracias! Gracias!!! Gracias!!!!!!!!!!!!",Positive
24,"Wes Craven, you are having a laugh... at our expense. The Red Eye plot is preposterous... We are confronted by a guy who has apparently spent 8 weeks watching a girl, who then turns up at an airport behind her, flirts and chats her up successfully, somehow wangles a seat next to her in a two seat space, not trapped in the middle of a five seat row (contacts at check-in?) and is cheezily nice during a painfully slooooow build up. Then, once up in the air, in a confined space, surrounded by strangers, he immediately starts threatening the vacuous, if super-efficient, Rachel McAdams and saying tosh like 'we got ya daddy, do what I say, or poppa gets it'. Well, forgive me, but didn't they already have her daddy ready for slaughter-so-you-better-oughta long before she stepped on the plane and therefore wouldn't it have been oh, sooooooo much simpler to simply snatch the gal off the street and terrorise her in a room somewhere, forgetting the complicated and insecure dad plot, pulling her nails out or whatever until she made the all important 'call' required? Or even - cos this is the movies and we need a few unreal twists - keep the dumb dad-in-distress thing intact if you must, but dress it up better so that holding him in harms way until the convoluted plot had been concluded made some sense, without the plane dumbdown? Alternatively, without wanting to sound like an actual thinking terrorist/assassin - couldn't the massive bazooka-missile thang employed have been far more easily used on, say, a car driving down the highway, with the politician inside, rather than the 50th story of a Miami seafront hotel, from a fishing boat (mind you, as we already know, security in Miami is lax, so they'll speed away)? I know, I know, far more fun to go through watching a pretty girl for 8 weeks, burgle her dads house to steal his wallet (that somehow - star trek style - gets transported from Miami to Texas instantly) in order to - perhaps - get her to arrange for a politician to change hotel room and, and, and... Well, a thousand things could go wrong here, each one entirely destroying the Big Plan, so why not slim the elements down to a sensible handful, such as - 1. bazooka. 2. car. 3. boom! My 50 minute drive home from the cinema was spent highlighting the abundance of flaws and stupid cod-Hitchcockian twists, which sadly was the best fun of the whole sorry experience. And as for security back at Miami Airport... we have an apparently crazy and violent girl running off a plane, chased by cops, who during the chase sits down to have a coffee, moves elsewhere to read a magazine at a bar, then runs again like crazy up and down the whole terminal... by now also chased by crazed Cillian Murphy (no CCTV then? - I had guns pulled on me for parking in the wrong place for 10 seconds at Miami Airport a couple of years back). So instead of speaking to the cops - her allies - or getting on the blower at a call-box direct to her dad to warn him his life is in danger, McAdams prefers instead to steal a People Carrier off a family in the Airport forecourt (call the damned security...) and drives home to daddy, mowing down the assassin with the vehicle in the front garden of the house, in a rich neighbourhood-watch district, crushing the front porch in the process - an act which actually slightly wakes dad up from an afternoon snooze, after about a minute, yet which somehow fails to register with neighbours who aren't even mildly curious, thus ensuring 15 more minutes of hide and seek shenanigans as the duo run around the vast Hollodeck type house... Dohhh, it actually hurts to keep thinking about it all - Cillian (surely renamed Silly 'un for doing this one?) preposterously turns from ice assassin to comically unhinged (and inept) lunatic killer at the end, this theoretically ruthless despatcher of human life now allowing the dad to live so that he can watch his daughter getting her goose cooked. I'd better stop, because the stream of drivel I'm writing here must sound as uncoordinated as the Red Eye script. If Ms McAdams hadn't been allowed to get on the plane in the first place the title could have been altered, from 'Red Eye' to 'No Eye, Dear'. RR",Negative
25,"I love horses and admire hand drawn animation, so I expected nothing short of amazement from Dreamworks new animated picture Spirit: Stallion of the Cimarron. I guess you could say I was a little bit disappointed. You have wonderful animation and at first what seems like a perfect story. A story about absolutely nothing but a horse in nature. The animals don't sing cute songs or even talk -- a major plus. Sadly, the film has an uncalled for narration by Matt Damon; a sappy soundtrack by Bryan Adams; and enough action scenes to compare it to a Jerry Bruckheimer production. If the film makers would have just stayed with simplicity, we'd have a masterpiece here. This is not a great film, but it is good entertainment for small children. I would recommend this film to families because it has its heart in the right place and its the only thing out there right now that isn't offensive to small children. Not bad, but could have been much better. Very pretty visuals though.",Positive
26,"The first (and only) time I saw ""Shades"" was during a Sneakpreview. It hadn't even been in premiere. I remember there was someone of the directors staff there, don't even remember who. It was a Belgian movie, we never heard of it, so we were quite neutral, not knowing what to expect. Mickey Rourke is a brilliant actor and he's stands miles ahead all the rest. He plays an actor who's star has long stopped rising. He's helping to realise a movie in Belgium entitled ""Shades"".<br /><br />As soon as the movie started, we noticed how much swearing there is. Nothing against the occasional swear word. However this was way beyond annoying. Whenever Rourke uses the F*** word to express something, it comes naturally. However, when someone from the cast, a non-English speaker uses the F**** or S*** word, it becomes arrogant and aggressive.<br /><br />We quickly lost count of how many times they used the F and S words. Everybody was just glad to be out of the theatre. And we had to give a vote, but it was hard for us because it was only from 0 to 10, and we were looking for the -10.",Negative
27,"I seriously love this film so much, I never get sick of watching it. The only line I really can't stomach in this is when Riff calls herself a teenage lobotomy but other than that, everything else is perfect. I've never been a fan of PJ Soles and it didn't help to hear that she didn't even know who the Ramones were until she filmed this movie, but I can ignore her snarly little face for the most part. Most people who watch this over and over are fans of the Ramones and really.. that's the only reason I love it so much. I never get tired of seeing DeeDee mess up his Pizza lines or Joey mess up the name of the teacher over and over, haha. One of the best parts of the film is seeing them sing do you want to dance , down the halls of the high school.. I love it. The special edition DVD has a good retrospective, surprisingly PJ Soles isn't on it. Maybe she was working on another project *laugh* Anyway, great film, even better if you're a Ramones fan.",Positive
28,this is the best sci-fi that I have seen in my 29 years of watching sci-fi. I also believe that Dark Angel will become a cult favorite. The action is great but Jessica Alba is the best and most gorgeous star on TV today.,Positive
29,"It's good to see that Vintage Film Buff have correctly categorized their excellent DVD release as a ""musical"", for that's what this film is, pure and simple. Like its unofficial remake, Murder at the Windmill (1949), the murder plot is just an excuse for an elaborate girlie show with Kitty Carlisle and Gertrude Michael leading a cast of super-decorative girls including Ann Sheridan, Lucy Ball, Beryl Wallace, Gwenllian Gill, Gladys Young, Barbara Fritchie, Wanda Perry and Dorothy White. Carl Brisson is also on hand to lend his strong voice to ""Cocktails for Two"". Undoubtedly the movie's most popular song, it is heard no less than four times. However, it's Gertrude Michael who steals the show, not only with her rendition of ""Sweet Marijauna"" but her strong performance as the hero's rejected girlfriend. As for the rest of the cast, we could have done without Jack Oakie and Victor McLaglen altogether. The only good thing about Oakie's role is his weak running gag with cult icon, Toby Wing. In fact, to give you an idea as to how far the rest of the comedy is over-indulged and over-strained, super-dumb Inspector McLaglen simply cannot put his hands on the killer even though, would you believe, in this instance it happens to be the person you most suspect. Director Mitch Leisen actually goes to great pains to point the killer out to even the dumbest member of the cinema audience by giving the player concerned close-up after close-up.",Positive
30,"I just finished watching this movie. It wasn't ridiculously bad, but I'm really disappointed with it. I'm not really sure why someone would make a movie like this. It was marginally entertaining, but I feel like the people making it had a lot of disagreements on what they were making. Monday, the writer was in charge; Tuesday, the director; Wednesday, the guy who gets the coffee; etc. It almost seems like they really wanted to make a couple different movies, but only had the time and money to make one.<br /><br />Someone else commented that the acting was really good, but I'd have to disagree. Then again, if the actors were able to keep a straight face during the filming, perhaps they're better actors than I give them credit for.<br /><br />The back of the DVD gives the impression that the movie would be a mystery... something along the lines of a historical Law and Order or National Treasure. It starts off like that, but then, out of nowhere it takes a turn towards a bad episode of the Twilight Zone, or... what was that other show that wasn't as good... A bad episode of The Outer Limits.<br /><br />My main complaint about the movie is that it is just so played out. There's the evil guy with spiked white hair. There's the love interest, who, when she first appears, the wind actually blows through her hair. Seriously. Once you realize it's a Christian movie, the end is also pretty easy to spot.<br /><br />The cinematography was poorly done, especially in the opening scenes - way to put your best foot forward. It wasn't atrocious for most of the movie, but there was the occasional ridiculously bad shot of an old lady, praying, arms up in a dark room while lightening is striking - the sort of thing that just makes you a little bit embarrassed to be watching the movie.",Negative
